,Compound,Comments,Company
262,0.4449,Facebook may not lift ban on Taliban even if U.S. softens its view,FB
263,-0.1695,Facebook says it would not automatically allow Taliban if U.S. changed designation,FB
264,-0.3182,Facebook Removed 20 Million Pieces of Covid-19 Misinformation,FB
265,0.0,Brookfield CMBS Has Facebook as Main Tenant in Seattle-Area Deal,FB
266,0.3182,The Next Facebook Inc. (FB): 10 Undvervalued Internet Stocks with Huge Upside,FB
267,0.2732,Twitter does not say it will ban Taliban posts after Afghanistan takeover  but will ensure it follows rules,FB
268,0.0,"Tesla, Facebook, Twitter, Howmet Aerospace, Snapchat, Pinterest: How Paul Singer's Elliott Management Adjusted Its Portfolio In Q2",FB
269,0.7579,3 Stocks to Gain From the Unabated Popularity of Social Media,FB
270,0.0,SoftBank Sold About $14 Billion in Listed Stocks Last Quarter,FB
271,0.0,SoftBank-Backed Karrot Becomes $2.7 Billion Korea Unicorn,FB
272,-0.3182,Twitter Will Let Users Report Misinformation for First Time,FB
273,-0.296,Should Amazon (AMZN) Antitrust Concerns Worry Investors?,FB
274,0.0,Why Facebook Stock Slipped Today,FB
275,0.0,Is Shopify Stock A Buy After Blowout Earnings Report?,FB
276,0.0,Facebook bans Taliban-related content from its platforms,FB
277,-0.6249,What are your rights if an employer threatens a WFH pay cut?,FB
278,0.0,Facebook Takes Action Against Taliban Content,FB
279,-0.0516,"Facebook Backs Two Major Undersea Cable Projects, Google Joins Forces For One",FB
280,0.3818,Taliban's Afghanistan takeover presents fresh challenge for social media companies,FB
281,0.3818,Taliban's Afghanistan takeover presents fresh challenge for social media companies,FB
282,0.0,"Facebook Proactively Removing Taliban Content, Executive Says",FB
283,0.0,Twitter Finds Leader for Decentralized Social Media Project Bluesky,FB
284,0.0,Earnings-Palooza: 4 FAANG Stocks and More,FB
285,0.1779,Facebook To Extend Africa's Undersea Cable Network: Bloomberg,FB
286,0.2263,Will Snap Be Worth More Than Facebook by 2030?,FB
287,0.4005,Facebook adds encrypted voice and video calls to Messenger and tests more secure Instagram DMs,FB
288,0.3182,Facebook to Expand Planned Undersea Cable Network in Africa,FB
289,0.0,Google and Facebooks New Cable to Link Japan and Southeast Asia,FB
290,-0.5994,Singapore Seeks Correction On Covid-19 Child Death Facebook Post,FB
291,0.0,Facebook Stock: Headed to $500?,FB
292,0.2023,Top 10 S&P 500 Stocks by Index Weight for July 2021,FB
293,-0.7269,Apple Races to Temper Outcry Over Child-Porn Tracking System,FB
294,-0.4767,Plymouth shooting: Facebook removes Jake Davisons profile after deadly attack,FB
295,0.5859,"Facebook, Amazon seek U.S. approval to operate undersea data cable",FB
296,-0.0516,Texas Cruise Outbreak; CDC Panel Backs Third Shot: Virus Update,FB
297,0.5859,"Facebook, Amazon Seek FCC Approval For Undersea Data Cable After Google: Reuters",FB
298,0.5859,"UPDATE 2-Facebook, Amazon seek U.S. approval to operate undersea data cable",FB
299,0.0,"Facebook rolls out end-to-end encryption for Messenger voice, video calls",FB
